ADA_code,CMA,refugeeF,asylumF,econF,nigeriaF,recentF_16_21,nprF,refugee_all,asylum_all,recent_all_16_21,total_pop,clinic_hr,rec_hr,refugeeF_share,asylumF_share,nprF_share,dominant_group,clinic_hr_min,rec_hr_min,refugee_vs_econ,clinic_min
35010001,Moderate metropolitan influenced zone (Ont.) / Zone d'influence métropolitaine modérée (Ont.),0.0,15.0,70.0,0.0,0.0,15.0,20.0,15.0,20.0,9900.0,0.0,0.0,0.0,0.0015151515151515152,0.0015151515151515152,Economic‑dominated,0.0,0.0,Econ>Refugees,0.0
35010002,Strong metropolitan influenced zone (Ont.) / Zone d'influence métropolitaine forte (Ont.),20.0,0.0,150.0,0.0,40.0,10.0,40.0,20.0,75.0,13215.0,9.436024665e-06,0.0,0.001513431706394249,0.0,0.0007567158531971245,Economic‑dominated,0.0005661614799,0.0,Econ>Refugees,0.0005661614799
35010003,Strong metropolitan influenced zone (Ont.) / Zone d'influence métropolitaine forte (Ont.),10.0,0.0,70.0,0.0,20.0,0.0,20.0,0.0,45.0,7325.0,0.0,0.0,0.0013651877133105802,0.0,0.0,Economic‑dominated,0.0,0.0,Econ>Refugees,0.0
35010004,Cornwall,0.0,10.0,75.0,20.0,15.0,15.0,10.0,20.0,15.0,13410.0,8.32618001971e-05,4.03279905271e-05,0.0,0.0007457121551081282,0.0011185682326621924,Economic‑dominated,0.004995708011826,0.0024196794316260002,Econ>Refugees,0.004995708011826
35010006,Strong metropolitan influenced zone (Ont.) / Zone d'influence métropolitaine forte (Ont.),0.0,0.0,65.0,0.0,15.0,0.0,10.0,10.0,30.0,11100.0,2.0506511777e-06,0.0,0.0,0.0,0.0,Economic‑dominated,0.00012303907066199999,0.0,Econ>Refugees,0.00012303907066199999
35010007,Cornwall,70.0,30.0,100.0,0.0,80.0,20.0,165.0,90.0,160.0,9575.0,0.0053870237204897,0.0025364320469585,0.007310704960835509,0.003133159268929504,0.0020887728459530026,Economic‑dominated,0.323221423229382,0.15218592281751,Econ>Refugees,0.323221423229382
35010008,Cornwall,40.0,10.0,70.0,0.0,25.0,50.0,105.0,45.0,55.0,7795.0,0.0073674334470146,0.0031129663234276,0.005131494547787043,0.0012828736369467607,0.006414368184733804,Economic‑dominated,0.442046006820876,0.186777979405656,Econ>Refugees,0.442046006820876
35010009,Cornwall,70.0,40.0,120.0,0.0,55.0,30.0,175.0,125.0,105.0,6850.0,0.0059344774197767,0.004028062334855,0.010218978102189781,0.00583941605839416,0.004379562043795621,Economic‑dominated,0.356068645186602,0.2416837400913,Econ>Refugees,0.356068645186602
35010010,Cornwall,25.0,10.0,60.0,0.0,40.0,30.0,65.0,30.0,85.0,6795.0,0.0098143286478327,0.0035796567258116,0.003679175864606328,0.0014716703458425313,0.004415011037527594,Economic‑dominated,0.588859718869962,0.214779403548696,Econ>Refugees,0.588859718869962
35010011,Cornwall,30.0,15.0,15.0,0.0,30.0,15.0,65.0,40.0,60.0,5585.0,0.0095490312409959,0.003993032775755,0.005371530886302597,0.0026857654431512983,0.0026857654431512983,Economic‑dominated,0.572941874459754,0.23958196654529998,Refugees≥Econ,0.572941874459754
35010012,Cornwall,25.0,25.0,125.0,10.0,100.0,50.0,50.0,45.0,175.0,9745.0,0.00785445026645,0.0041598633044698,0.002565418163160595,0.002565418163160595,0.00513083632632119,Economic‑dominated,0.471267015987,0.249591798268188,Econ>Refugees,0.471267015987
